Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,1,Wheat bread,Australia,7.78,7.78,0.0,220.91,3.67,15.35,13.94,9.22,124.33,C,0.15798722065222645
1,Wheat & Rye (Bread),starch_rich,4,Wheat bread,France,5.42,5.42,0.0,19.49,1.47,-,18.15,9.23,24.81,C,0.46445665246900336
1,Wheat & Rye (Bread),starch_rich,5,Wheat and rye bread,France,29.28,29.28,0.0,105.26,4.46,-,35.38,11.53,84.81,C,0.46445665246900336
1,Wheat & Rye (Bread),starch_rich,6,Wheat bread,France,1.44,1.44,0.0,2.36,1.17,-,2.93,65.36,262.65,C,0.09289133049380069
1,Wheat & Rye (Bread),starch_rich,7,Wheat bread,Germany,1.31,1.31,0.0,2.11,0.65,5.27,0.62,2.19,2.73,C,2.507881425019203
1,Wheat & Rye (Bread),starch_rich,8,Wheat bread,Germany,1.99,1.99,0.0,3.23,0.42,3.41,0.29,2.19,2.73,O,0.20899011875160026
1,Wheat & Rye (Bread),starch_rich,9,Wheat bread,Germany,1.38,1.38,0.0,2.23,0.7,7.28,9.43,16.43,26.48,C,2.507881425019203
1,Wheat & Rye (Bread),starch_rich,10,Wheat bread,Italy,7.99,7.99,0.0,111.89,1.88,-,26.36,6.54,142.17,C,0.07397542639897517
1,Wheat & Rye (Bread),starch_rich,11,Wheat and rye bread,Norway,2.5,2.5,0.0,1.16,1.83,6.41,5.53,2.19,1.4,C,0.26455143341231085
1,Wheat & Rye (Bread),starch_rich,17,Wheat,Australia,5.08,5.08,0.0,63.39,0.67,8.44,1.43,2.19,55.88,C,0.22118210891311707
1,Wheat & Rye (Bread),starch_rich,18,Wheat,Australia,8.65,8.65,0.0,75.2,0.68,9.52,1.86,2.19,55.88,C,0.07899361032611323
1,Wheat & Rye (Bread),starch_rich,19,Wheat,Australia,7.69,7.69,0.0,66.86,0.65,8.37,1.6,2.19,55.88,C,0.031597444130445296
1,Wheat & Rye (Bread),starch_rich,20,Wheat,Australia,8.34,8.34,0.0,236.71,0.72,7.77,1.98,2.19,55.88,C,0.15798722065222645
