Product id,Data S2 Name,Group,id,Product_details,Country,Weight,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys
1,Wheat & Rye (Bread),starch_rich,51,Wheat,Chile,0.08532423208191127,9.75,9.75,0.0,198.23,1.09,4.71,0.58,2.2,86.39,O
1,Wheat & Rye (Bread),starch_rich,55,Winter wheat,China,0.3412969283276451,0.73,0.73,0.0,2.93,1.17,16.02,5.5,1255.45,119559.54,C
1,Wheat & Rye (Bread),starch_rich,56,Winter wheat,China,0.42662116040955633,0.78,0.78,0.0,3.1,2.01,23.52,5.08,800.71,76200.18,C
1,Wheat & Rye (Bread),starch_rich,57,Winter wheat,China,0.68259385665529,0.84,0.84,0.0,3.34,2.23,26.17,5.74,936.26,89124.77,C
1,Wheat & Rye (Bread),starch_rich,58,Winter wheat,China,0.68259385665529,0.69,0.69,0.0,2.76,1.28,16.34,5.16,391.57,38998.44,C
1,Wheat & Rye (Bread),starch_rich,61,Wheat,China,1.7064846416382253,1.15,1.15,0.0,5.24,1.73,24.61,7.67,2.19,60.72,C
1,Wheat & Rye (Bread),starch_rich,62,Wheat,China,1.7064846416382253,1.09,1.09,0.0,4.96,1.45,18.42,5.63,2.19,60.72,C
1,Wheat & Rye (Bread),starch_rich,63,Wheat,China,0.68259385665529,6.99,6.99,0.0,27.92,1.46,15.77,8.11,1033.73,93494.57,C
1,Wheat & Rye (Bread),starch_rich,64,Wheat,China,0.68259385665529,6.48,6.48,0.0,25.88,1.3,15.87,8.4,1033.69,93490.84,C
1,Wheat & Rye (Bread),starch_rich,65,Winter wheat,China,0.68259385665529,0.76,0.76,0.0,3.04,1.68,20.98,6.43,456.37,43367.12,C
1,Wheat & Rye (Bread),starch_rich,66,Winter wheat,China,0.68259385665529,0.69,0.69,0.0,2.75,1.56,20.21,6.17,436.35,41458.2,C
1,Wheat & Rye (Bread),starch_rich,67,Winter wheat,China,0.68259385665529,0.87,0.87,0.0,3.46,1.43,18.92,5.72,402.45,38225.92,C
1,Wheat & Rye (Bread),starch_rich,68,Winter wheat,China,0.68259385665529,0.41,0.41,0.0,1.65,1.6,20.79,6.37,451.38,42891.3,C
1,Wheat & Rye (Bread),starch_rich,72,Winter wheat,Cyprus,0.08532423208191127,5.12,5.12,0.0,122.14,1.27,7.94,1.79,711.91,35533.54,C
1,Wheat & Rye (Bread),starch_rich,76,Wheat,Denmark,0.7679180887372014,1.53,1.53,0.0,2.28,1.1,15.21,6.75,2.19,10.6,C
1,Wheat & Rye (Bread),starch_rich,77,Wheat,Denmark,0.08532423208191127,2.53,2.53,0.0,3.77,1.3,27.60,13.42,2.19,10.6,O
1,Wheat & Rye (Bread),starch_rich,91,Winter wheat,France,0.2559726962457338,1.32,1.32,0.0,2.17,0.98,8.07,6.78,59.25,239.85,C
1,Wheat & Rye (Bread),starch_rich,92,Winter wheat,France,0.2559726962457338,0.99,0.99,0.0,1.62,0.97,8.02,3.97,57.92,234.36,C
1,Wheat & Rye (Bread),starch_rich,93,Winter wheat,France,0.2559726962457338,1.07,1.07,0.0,1.75,0.98,8.10,4.01,62.72,254.11,C
1,Wheat & Rye (Bread),starch_rich,94,Winter wheat,France,0.2559726962457338,1.19,1.19,0.0,1.95,0.89,7.14,5.83,53.68,216.95,C
1,Wheat & Rye (Bread),starch_rich,95,Winter wheat,France,0.2559726962457338,1.3,1.3,0.0,2.13,0.91,7.14,6.18,58.5,236.76,C
1,Wheat & Rye (Bread),starch_rich,96,Winter wheat,France,0.2559726962457338,1.4,1.4,0.0,1.99,1.04,8.41,10.54,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,97,Winter wheat,France,0.2559726962457338,1.42,1.42,0.0,2.03,0.92,6.82,7.73,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,98,Winter wheat,France,0.2559726962457338,1.27,1.27,0.0,1.82,0.93,7.19,7.2,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,99,Winter wheat,France,0.2559726962457338,1.17,1.17,0.0,1.67,0.92,7.20,4.23,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,100,Winter wheat,France,0.2559726962457338,1.05,1.05,0.0,1.49,0.95,7.75,5.16,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,101,Winter wheat,France,0.2559726962457338,1.43,1.43,0.0,2.05,0.99,9.03,7.34,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,102,Winter wheat,France,0.2559726962457338,1.3,1.3,0.0,1.86,0.92,8.16,6.56,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,103,Soft wheat,France,0.08532423208191127,3.69,3.69,0.0,13.26,1.09,4.93,5.47,2.19,5.08,O
1,Wheat & Rye (Bread),starch_rich,104,Soft wheat,France,0.08532423208191127,2.74,2.74,0.0,9.84,0.86,4.69,4.15,2.19,5.08,O
1,Wheat & Rye (Bread),starch_rich,105,Soft wheat,France,0.2559726962457338,1.46,1.46,0.0,2.4,1.21,9.54,4.8,26.95,129.48,C
1,Wheat & Rye (Bread),starch_rich,106,Soft wheat,France,0.2559726962457338,1.28,1.28,0.0,2.1,1.0,8.37,4.0,4.3,15.67,C
1,Wheat & Rye (Bread),starch_rich,107,Wheat,France,0.5119453924914675,1.37,1.37,0.0,2.25,0.96,5.29,2.67,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,108,Wheat,France,0.5119453924914675,1.47,1.47,0.0,2.41,0.81,4.45,3.62,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,109,Wheat,France,0.2559726962457338,1.55,1.55,0.0,2.2,1.23,9.59,9.35,4.0,7.48,C
1,Wheat & Rye (Bread),starch_rich,110,Wheat,France,1.2798634812286689,1.47,1.47,0.0,5.28,1.04,7.36,3.84,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,111,Wheat,France,1.2798634812286689,1.65,1.65,0.0,2.7,0.92,5.81,3.97,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,112,Wheat,France,1.2798634812286689,1.53,1.53,0.0,5.51,1.12,5.82,3.59,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,113,Winter wheat,France,0.7679180887372014,2.05,2.05,0.0,3.36,1.0,7.85,3.74,2.19,5.08,C
1,Wheat & Rye (Bread),starch_rich,115,Wheat,Germany,0.2559726962457338,1.36,1.36,0.0,2.06,1.24,6.05,4.97,110.05,264.14,C
1,Wheat & Rye (Bread),starch_rich,116,Wheat,Germany,0.2559726962457338,1.36,1.36,0.0,2.06,1.23,5.99,4.88,109.96,263.93,C
1,Wheat & Rye (Bread),starch_rich,117,Wheat,Germany,0.2559726962457338,1.36,1.36,0.0,2.06,1.22,5.98,4.8,110.17,264.43,C
1,Wheat & Rye (Bread),starch_rich,118,Wheat,Germany,0.08532423208191127,2.72,2.72,0.0,4.11,1.48,27.00,15.15,109.95,263.89,O
1,Wheat & Rye (Bread),starch_rich,123,Winter wheat,Germany,1.2798634812286689,1.65,1.65,0.0,2.39,0.98,10.15,4.0,2.19,2.73,C
1,Wheat & Rye (Bread),starch_rich,124,Winter wheat,Germany,0.08532423208191127,3.57,3.57,0.0,5.17,1.19,11.73,4.85,2.19,2.73,O
1,Wheat & Rye (Bread),starch_rich,125,Winter wheat,Germany,0.08532423208191127,2.77,2.77,0.0,4.0,1.36,8.22,2.32,2.19,2.73,O
1,Wheat & Rye (Bread),starch_rich,126,Winter rye,Germany,0.08532423208191127,3.06,3.06,0.0,4.43,0.92,10.17,3.4,2.19,2.73,O
1,Wheat & Rye (Bread),starch_rich,127,Winter wheat,Germany,1.0238907849829353,1.54,1.54,0.0,2.49,1.1,6.87,11.95,2.19,2.73,C
1,Wheat & Rye (Bread),starch_rich,128,Wheat,Germany,0.2559726962457338,1.52,1.52,0.0,2.3,1.24,6.31,4.51,3.83,6.7,C
1,Wheat & Rye (Bread),starch_rich,131,Wheat flour,Greece,1.1092150170648465,4.87,4.87,0.0,81.32,1.84,14.50,4.84,2.19,67.45,C
1,Wheat & Rye (Bread),starch_rich,132,Wheat,India,1.877133105802048,0.85,0.85,0.0,1.63,0.87,-,3.65,417.47,34313.53,C
1,Wheat & Rye (Bread),starch_rich,133,Wheat,India,0.17064846416382254,0.96,0.96,0.0,1.84,0.68,-,3.84,470.19,38663.37,C
1,Wheat & Rye (Bread),starch_rich,134,Wheat flour,India,17.150170648464165,1.18,1.18,0.0,14.25,0.87,12.74,6.44,918.86,12715.67,C
1,Wheat & Rye (Bread),starch_rich,135,Wheat flour,India,2.3890784982935154,1.21,1.21,0.0,14.26,0.87,9.95,14.42,952.69,3684.54,C
1,Wheat & Rye (Bread),starch_rich,136,Wheat,India,0.17064846416382254,1.18,1.18,0.0,2.27,0.99,13.23,3.51,1271.81,104799.72,C
1,Wheat & Rye (Bread),starch_rich,137,Wheat,India,0.17064846416382254,1.18,1.18,0.0,2.27,1.0,13.23,3.51,1156.38,95276.57,C
1,Wheat & Rye (Bread),starch_rich,138,Wheat,India,0.17064846416382254,1.18,1.18,0.0,2.27,0.96,13.23,3.51,1266.76,104383.08,C
1,Wheat & Rye (Bread),starch_rich,139,Wheat,India,1.877133105802048,1.18,1.18,0.0,2.27,0.81,-,4.97,146.49,11957.25,C
1,Wheat & Rye (Bread),starch_rich,140,Wheat,India,0.17064846416382254,1.12,1.12,0.0,2.15,0.44,-,4.72,138.67,11312.02,C
1,Wheat & Rye (Bread),starch_rich,141,Wheat,"Iran, Islamic Republic of",0.68259385665529,3.38,3.38,0.0,9.85,1.81,9.12,15.22,1450.59,89886.4,C
1,Wheat & Rye (Bread),starch_rich,142,Wheat,"Iran, Islamic Republic of",0.42662116040955633,28.57,28.57,0.0,83.18,1.23,8.38,1.75,2.11,86.54,C
1,Wheat & Rye (Bread),starch_rich,143,Wheat,"Iran, Islamic Republic of",0.42662116040955633,6.67,6.67,0.0,19.41,1.66,33.48,12.07,601.45,38130.72,C
1,Wheat & Rye (Bread),starch_rich,144,Wheat,"Iran, Islamic Republic of",0.42662116040955633,5.11,5.11,0.0,14.88,1.29,23.33,8.29,806.24,51130.22,C
1,Wheat & Rye (Bread),starch_rich,145,Wheat,"Iran, Islamic Republic of",0.42662116040955633,4.19,4.19,0.0,12.2,1.14,19.41,6.73,660.1,41853.92,C
1,Wheat & Rye (Bread),starch_rich,146,Wheat,"Iran, Islamic Republic of",0.42662116040955633,3.71,3.71,0.0,10.81,0.98,14.74,5.03,585.04,37089.4,C
1,Wheat & Rye (Bread),starch_rich,147,Wheat,"Iran, Islamic Republic of",0.42662116040955633,4.43,4.43,0.0,12.9,1.44,18.09,6.47,3612.02,229233.89,C
1,Wheat & Rye (Bread),starch_rich,148,Wheat,"Iran, Islamic Republic of",0.5972696245733788,2.54,2.54,0.0,40.12,1.05,18.42,7.02,734.94,68403.35,C
1,Wheat & Rye (Bread),starch_rich,149,Wheat,"Iran, Islamic Republic of",0.5972696245733788,3.95,3.95,0.0,55.65,2.7,12.35,3.27,3166.83,203066.79,C
1,Wheat & Rye (Bread),starch_rich,150,Wheat,"Iran, Islamic Republic of",0.08532423208191127,2.48,2.48,0.0,39.15,1.32,16.77,8.32,948.37,85882.38,C
1,Wheat & Rye (Bread),starch_rich,151,Wheat,"Iran, Islamic Republic of",0.08532423208191127,1.93,1.93,0.0,30.52,0.88,7.44,4.15,937.77,84921.71,C
1,Wheat & Rye (Bread),starch_rich,152,Wheat,"Iran, Islamic Republic of",0.08532423208191127,2.21,2.21,0.0,34.81,1.02,10.02,5.3,946.0,85667.2,C
1,Wheat & Rye (Bread),starch_rich,153,Wheat,"Iran, Islamic Republic of",0.08532423208191127,4.23,4.23,0.0,66.78,0.82,4.98,2.93,2.11,86.54,C
1,Wheat & Rye (Bread),starch_rich,154,Wheat,"Iran, Islamic Republic of",0.08532423208191127,3.03,3.03,0.0,47.77,1.5,20.08,9.85,959.55,86896.01,C
1,Wheat & Rye (Bread),starch_rich,155,Wheat,"Iran, Islamic Republic of",0.42662116040955633,2.6,2.6,0.0,41.03,1.07,10.51,5.67,945.21,85595.75,C
1,Wheat & Rye (Bread),starch_rich,159,Winter wheat,Italy,0.08532423208191127,1.66,1.66,0.0,25.22,1.01,4.46,4.48,2.19,38.96,C
1,Wheat & Rye (Bread),starch_rich,160,Winter wheat,Italy,0.08532423208191127,1.98,1.98,0.0,30.22,1.09,4.55,5.76,2.19,38.96,C
1,Wheat & Rye (Bread),starch_rich,161,Wheat,Italy,0.5119453924914675,1.06,1.06,0.0,3.49,1.04,7.17,4.66,389.12,1156.22,C
1,Wheat & Rye (Bread),starch_rich,162,Wheat,Italy,0.17064846416382254,1.6,1.6,0.0,5.27,1.12,18.98,11.31,389.15,1156.31,O
1,Wheat & Rye (Bread),starch_rich,163,Wheat,Italy,0.3412969283276451,1.36,1.36,0.0,4.47,1.09,6.30,1.0,2.19,38.96,C
1,Wheat & Rye (Bread),starch_rich,164,Wheat,Italy,0.5119453924914675,1.74,1.74,0.0,5.72,1.12,5.79,4.63,2.19,38.96,C
