Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,4,Wheat bread,France,5.42,5.42,0.0,19.49,1.47,-,18.15,9.23,24.81,C,0.03158229007607362
1,Wheat & Rye (Bread),starch_rich,5,Wheat and rye bread,France,29.28,29.28,0.0,105.26,4.46,-,35.38,11.53,84.81,C,0.03158229007607362
1,Wheat & Rye (Bread),starch_rich,6,Wheat bread,France,1.44,1.44,0.0,2.36,1.17,-,2.93,65.36,262.65,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,7,Wheat bread,Germany,1.31,1.31,0.0,2.11,0.65,5.27,0.62,2.19,2.73,C,0.32974288389670675
1,Wheat & Rye (Bread),starch_rich,8,Wheat bread,Germany,1.99,1.99,0.0,3.23,0.42,3.41,0.29,2.19,2.73,O,0.02747857365805889
1,Wheat & Rye (Bread),starch_rich,9,Wheat bread,Germany,1.38,1.38,0.0,2.23,0.7,7.28,9.43,16.43,26.48,C,0.32974288389670675
1,Wheat & Rye (Bread),starch_rich,10,Wheat bread,Italy,7.99,7.99,0.0,111.89,1.88,-,26.36,6.54,142.17,C,0.05403875571458656
1,Wheat & Rye (Bread),starch_rich,11,Wheat and rye bread,Norway,2.5,2.5,0.0,1.16,1.83,6.41,5.53,2.19,1.4,C,0.010550507943297916
1,Wheat & Rye (Bread),starch_rich,76,Wheat,Denmark,1.53,1.53,0.0,2.28,1.1,15.21,6.75,2.19,10.6,C,84.70883718841874
1,Wheat & Rye (Bread),starch_rich,77,Wheat,Denmark,2.53,2.53,0.0,3.77,1.3,27.60,13.42,2.19,10.6,O,9.412093020935417
1,Wheat & Rye (Bread),starch_rich,91,Winter wheat,France,1.32,1.32,0.0,2.17,0.98,8.07,6.78,59.25,239.85,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,92,Winter wheat,France,0.99,0.99,0.0,1.62,0.97,8.02,3.97,57.92,234.36,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,93,Winter wheat,France,1.07,1.07,0.0,1.75,0.98,8.10,4.01,62.72,254.11,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,94,Winter wheat,France,1.19,1.19,0.0,1.95,0.89,7.14,5.83,53.68,216.95,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,95,Winter wheat,France,1.3,1.3,0.0,2.13,0.91,7.14,6.18,58.5,236.76,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,96,Winter wheat,France,1.4,1.4,0.0,1.99,1.04,8.41,10.54,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,97,Winter wheat,France,1.42,1.42,0.0,2.03,0.92,6.82,7.73,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,98,Winter wheat,France,1.27,1.27,0.0,1.82,0.93,7.19,7.2,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,99,Winter wheat,France,1.17,1.17,0.0,1.67,0.92,7.20,4.23,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,100,Winter wheat,France,1.05,1.05,0.0,1.49,0.95,7.75,5.16,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,101,Winter wheat,France,1.43,1.43,0.0,2.05,0.99,9.03,7.34,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,102,Winter wheat,France,1.3,1.3,0.0,1.86,0.92,8.16,6.56,2.19,5.08,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,103,Soft wheat,France,3.69,3.69,0.0,13.26,1.09,4.93,5.47,2.19,5.08,O,0.002105486005071575
1,Wheat & Rye (Bread),starch_rich,104,Soft wheat,France,2.74,2.74,0.0,9.84,0.86,4.69,4.15,2.19,5.08,O,0.002105486005071575
1,Wheat & Rye (Bread),starch_rich,105,Soft wheat,France,1.46,1.46,0.0,2.4,1.21,9.54,4.8,26.95,129.48,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,106,Soft wheat,France,1.28,1.28,0.0,2.1,1.0,8.37,4.0,4.3,15.67,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,107,Wheat,France,1.37,1.37,0.0,2.25,0.96,5.29,2.67,2.19,5.08,C,0.012632916030429448
1,Wheat & Rye (Bread),starch_rich,108,Wheat,France,1.47,1.47,0.0,2.41,0.81,4.45,3.62,2.19,5.08,C,0.012632916030429448
1,Wheat & Rye (Bread),starch_rich,109,Wheat,France,1.55,1.55,0.0,2.2,1.23,9.59,9.35,4.0,7.48,C,0.006316458015214725
1,Wheat & Rye (Bread),starch_rich,110,Wheat,France,1.47,1.47,0.0,5.28,1.04,7.36,3.84,2.19,5.08,C,0.03158229007607362
1,Wheat & Rye (Bread),starch_rich,111,Wheat,France,1.65,1.65,0.0,2.7,0.92,5.81,3.97,2.19,5.08,C,0.03158229007607362
1,Wheat & Rye (Bread),starch_rich,112,Wheat,France,1.53,1.53,0.0,5.51,1.12,5.82,3.59,2.19,5.08,C,0.03158229007607362
1,Wheat & Rye (Bread),starch_rich,113,Winter wheat,France,2.05,2.05,0.0,3.36,1.0,7.85,3.74,2.19,5.08,C,0.018949374045644174
1,Wheat & Rye (Bread),starch_rich,115,Wheat,Germany,1.36,1.36,0.0,2.06,1.24,6.05,4.97,110.05,264.14,C,0.08243572097417669
1,Wheat & Rye (Bread),starch_rich,116,Wheat,Germany,1.36,1.36,0.0,2.06,1.23,5.99,4.88,109.96,263.93,C,0.08243572097417669
1,Wheat & Rye (Bread),starch_rich,117,Wheat,Germany,1.36,1.36,0.0,2.06,1.22,5.98,4.8,110.17,264.43,C,0.08243572097417669
1,Wheat & Rye (Bread),starch_rich,118,Wheat,Germany,2.72,2.72,0.0,4.11,1.48,27.00,15.15,109.95,263.89,O,0.02747857365805889
1,Wheat & Rye (Bread),starch_rich,123,Winter wheat,Germany,1.65,1.65,0.0,2.39,0.98,10.15,4.0,2.19,2.73,C,0.4121786048708833
1,Wheat & Rye (Bread),starch_rich,124,Winter wheat,Germany,3.57,3.57,0.0,5.17,1.19,11.73,4.85,2.19,2.73,O,0.02747857365805889
1,Wheat & Rye (Bread),starch_rich,125,Winter wheat,Germany,2.77,2.77,0.0,4.0,1.36,8.22,2.32,2.19,2.73,O,0.02747857365805889
1,Wheat & Rye (Bread),starch_rich,126,Winter rye,Germany,3.06,3.06,0.0,4.43,0.92,10.17,3.4,2.19,2.73,O,0.02747857365805889
1,Wheat & Rye (Bread),starch_rich,127,Winter wheat,Germany,1.54,1.54,0.0,2.49,1.1,6.87,11.95,2.19,2.73,C,0.32974288389670675
1,Wheat & Rye (Bread),starch_rich,128,Wheat,Germany,1.52,1.52,0.0,2.3,1.24,6.31,4.51,3.83,6.7,C,0.08243572097417669
1,Wheat & Rye (Bread),starch_rich,159,Winter wheat,Italy,1.66,1.66,0.0,25.22,1.01,4.46,4.48,2.19,38.96,C,0.004156827362660504
1,Wheat & Rye (Bread),starch_rich,160,Winter wheat,Italy,1.98,1.98,0.0,30.22,1.09,4.55,5.76,2.19,38.96,C,0.004156827362660504
1,Wheat & Rye (Bread),starch_rich,161,Wheat,Italy,1.06,1.06,0.0,3.49,1.04,7.17,4.66,389.12,1156.22,C,0.024940964175963025
1,Wheat & Rye (Bread),starch_rich,162,Wheat,Italy,1.6,1.6,0.0,5.27,1.12,18.98,11.31,389.15,1156.31,O,0.008313654725321008
1,Wheat & Rye (Bread),starch_rich,163,Wheat,Italy,1.36,1.36,0.0,4.47,1.09,6.30,1.0,2.19,38.96,C,0.016627309450642017
1,Wheat & Rye (Bread),starch_rich,164,Wheat,Italy,1.74,1.74,0.0,5.72,1.12,5.79,4.63,2.19,38.96,C,0.024940964175963025
1,Wheat & Rye (Bread),starch_rich,193,Spring wheat,Norway,2.6,2.6,0.0,1.2,2.34,8.46,5.84,2.19,1.4,C,0.010550507943297916
1,Wheat & Rye (Bread),starch_rich,194,Winter wheat,Norway,2.45,2.45,0.0,1.13,2.24,8.76,6.13,2.19,1.4,C,0.010550507943297916
1,Wheat & Rye (Bread),starch_rich,195,Wheat,Norway,1.67,1.67,0.0,0.72,1.62,8.69,3.54,2.19,1.4,C,0.010550507943297916
1,Wheat & Rye (Bread),starch_rich,198,Wheat,Poland,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,C,0.7857863014314099
1,Wheat & Rye (Bread),starch_rich,199,Wheat,Poland,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,C,0.14733493151838936
1,Wheat & Rye (Bread),starch_rich,200,Wheat,Poland,2.44,2.44,0.0,3.77,1.71,7.10,9.81,101.78,227.75,C,0.14733493151838936
1,Wheat & Rye (Bread),starch_rich,209,Winter wheat,Sweden,1.72,1.72,0.0,0.73,1.23,5.70,0.69,2.19,8.84,C,0.34738578855878904
1,Wheat & Rye (Bread),starch_rich,210,Winter wheat,Sweden,1.31,1.31,0.0,1.88,1.05,4.75,2.96,2.19,8.84,C,0.5789763142646482
1,Wheat & Rye (Bread),starch_rich,211,Winter wheat,Sweden,2.81,2.81,0.0,1.77,1.41,5.17,4.05,2.19,8.84,C,0.34738578855878904
1,Wheat & Rye (Bread),starch_rich,212,Winter wheat,Sweden,1.69,1.69,0.0,1.06,1.16,5.07,1.65,2.19,8.84,C,0.34738578855878904
1,Wheat & Rye (Bread),starch_rich,213,Winter wheat,Sweden,1.75,1.75,0.0,1.1,1.38,5.46,1.71,2.19,8.84,C,0.34738578855878904
1,Wheat & Rye (Bread),starch_rich,239,Wheat,United Kingdom,1.23,1.23,0.0,1.52,0.94,13.13,3.14,2.19,6.88,C,0.14770711120617083
1,Wheat & Rye (Bread),starch_rich,240,Winter wheat,United Kingdom,1.4,1.4,0.0,1.73,0.97,-,2.79,2.19,6.88,C,0.11605558737627707
1,Wheat & Rye (Bread),starch_rich,241,Winter wheat,United Kingdom,2.04,2.04,0.0,2.53,0.84,-,2.5,2.19,6.88,O,0.11605558737627707
1,Wheat & Rye (Bread),starch_rich,242,Winter wheat,United Kingdom,1.51,1.51,0.0,2.06,0.95,4.54,1.02,2.51,8.31,C,0.042202031773191664
1,Wheat & Rye (Bread),starch_rich,247,Bread wheat,United Kingdom,1.62,1.62,0.0,2.2,1.04,6.19,3.32,2.19,6.88,C,0.042202031773191664
1,Wheat & Rye (Bread),starch_rich,248,Bread wheat,United Kingdom,5.39,5.39,0.0,7.33,0.99,5.19,9.71,2.19,6.88,O,0.010550507943297916
2,Maize (Meal),starch_rich,265,Maize,Argentina,1.81,1.81,0.0,12.2,1.29,9.33,2.18,507.92,10446.72,C,0.46629042016666544
2,Maize (Meal),starch_rich,268,Maize,Belgium,2.75,2.75,0.0,4.48,0.89,9.57,4.74,0.0,0.0,C,2.8199394982565007
2,Maize (Meal),starch_rich,270,Maize,Brazil,1.32,1.32,0.0,14.26,1.45,20.63,7.68,0.0,0.0,C,0.2259848941213147
2,Maize (Meal),starch_rich,271,Maize,Brazil,1.19,1.19,0.0,32.19,1.35,25.48,8.12,0.0,0.0,C,0.3389773411819721
2,Maize (Meal),starch_rich,312,Maize,France,1.29,1.29,0.0,2.11,0.79,8.15,5.01,221.83,912.79,C,2.0264404199576562
2,Maize (Meal),starch_rich,313,Maize,France,1.38,1.38,0.0,2.27,0.77,8.33,3.2,238.96,983.25,C,2.0264404199576562
2,Maize (Meal),starch_rich,314,Maize,France,1.83,1.83,0.0,6.59,0.98,11.26,5.17,98.12,813.29,C,3.0396606299364852
2,Maize (Meal),starch_rich,315,Maize,France,1.81,1.81,0.0,2.97,1.13,6.81,6.91,115.63,794.4,C,11.145422309767113
2,Maize (Meal),starch_rich,316,Maize,France,1.85,1.85,0.0,2.64,1.16,6.52,6.81,196.21,2069.33,C,6.07932125987297
2,Maize (Meal),starch_rich,317,Maize,France,1.69,1.69,0.0,2.76,1.06,6.02,6.64,122.08,1384.74,C,6.07932125987297
2,Maize (Meal),starch_rich,318,Maize,France,2.29,2.29,0.0,3.76,0.95,6.99,4.77,55.56,660.31,C,4.0528808399153124
2,Maize (Meal),starch_rich,319,Maize,France,1.61,1.61,0.0,2.64,1.01,5.79,4.4,143.87,722.89,C,2.0264404199576562
2,Maize (Meal),starch_rich,320,Maize,France,2.68,2.68,0.0,4.39,0.95,9.29,5.54,0.0,0.0,C,3.0396606299364852
2,Maize (Meal),starch_rich,321,Maize,France,1.75,1.75,0.0,6.31,0.97,5.02,3.61,0.0,0.0,C,9.118981889809454
2,Maize (Meal),starch_rich,322,Maize,France,2.28,2.28,0.0,3.73,0.85,7.18,4.2,0.0,0.0,C,3.0396606299364852
2,Maize (Meal),starch_rich,330,Maize,Italy,1.17,1.17,0.0,17.81,0.96,4.34,6.73,175.92,845.23,C,0.9395912643181448
2,Maize (Meal),starch_rich,331,Maize,Italy,1.43,1.43,0.0,4.71,1.06,12.37,5.05,557.73,1610.47,C,2.818773792954435
2,Maize (Meal),starch_rich,332,Maize,Italy,1.03,1.03,0.0,3.38,0.95,9.71,4.29,400.38,1156.11,C,2.818773792954435
2,Maize (Meal),starch_rich,333,Maize,Italy,0.77,0.77,0.0,2.53,0.89,8.00,2.87,375.35,1083.85,C,2.818773792954435
2,Maize (Meal),starch_rich,334,Maize,Italy,0.66,0.66,0.0,2.18,0.87,4.78,0.78,386.6,1116.32,C,2.818773792954435
2,Maize (Meal),starch_rich,335,Maize,Italy,0.71,0.71,0.0,2.32,0.87,4.97,0.78,413.14,1192.97,C,2.818773792954435
2,Maize (Meal),starch_rich,352,Maize,Portugal,2.53,2.53,0.0,41.4,0.74,7.70,2.14,1473.56,110208.11,C,0.9046923123866171
2,Maize (Meal),starch_rich,353,Maize,Portugal,1.39,1.39,0.0,21.0,0.87,9.35,2.08,862.03,9184.69,C,0.9046923123866171
